"Award_Identifier","Extending_Organization","Extending_Organization_Office","Accountable_Organization","Accountable_Organization_Office","Implementing_Organization","Implementing_Organization_Type","Implementing_Organization_Country","Implementing_Organization_DUNS_Number","Award_Title","Award_Description","Award_Status","Award_Collaboration_Type","Award_Total_Estimated_Value","Award_Interagency_Transfer_Status","Award_Start_Date","Award_End_Date","Recipient_Location","Award_Transaction_Description ","Award_Transaction_Value","Award_Transaction_Type","Award_Transaction_Date","Award_Transaction_Fiscal_Year","Award_Transaction_Fiscal_Quarter","Award_Transaction_Aid_Type","Award_Transaction_Tied_Status","Award_Transaction_Flow_Type","Award_Transaction_Finance_Type","Award_Transaction_DAC_Purpose_Code","Award_Transaction_DAC_Purpose_Code_Name","Award_Transaction_US_Foreign_Assistance_Code","Award_Transaction_US_Foreign_Assistance_Category","Award_Transaction_US_Foreign_Assistance_Sector","Treasury_Account_Codes","Treasury_Account_Title","Treasury_Account_Start_Fiscal_Year","Treasury_Account_End_Fiscal_Year","Data_Submission_Date"
"IL281011575K11","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Department of Labor","Bureau of International Labor Affairs/Office of Child Labor, Forced Labor and Human Trafficking","Fair Labor Association","Other Public Sector","United States","612066121","Piloting the USDA Guidelines in the Hazelnut Supply Chain in Turkey ","To establish and pilot a sustainable program to reduce child labor in the hazelnut supply chain in Turkey through implementation of the USDA’s Guidelines for Eliminating Child and Forced Labor in Agricultural Supply Chains"," Implementation","Bilateral","4870000","Direct Appropriation","2015-11-20 00:00:00","2018-06-30 00:00:00","Turkey","Quarterly disbursements by project. May include disbursements for: salary and benefits, travel and per diem, logistical expenses and other costs of delivering technical assistance.","560186.41000000003","Expenditure","2017-12-31 00:00:00","2018","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","15110","Economic and development policy/planning","5008","Economic Development","Labor Policies and Markets","16 0165","Salaries and Expenses, Departmental Management","2012","2018","2018-05-08 00:00:00"
"3EDC0E04","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","15.1","Disbursement","2017-02-13 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"5BADBDA8","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-402.76999999999998","Disbursement","2017-03-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"3BB015DD","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-36","Disbursement","2017-01-13 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"277-STU10016M0234","U.S. Department of Agriculture","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Unspecified Vendors - Bosnia and Herzegovina","","","","Crisis Assistance and Recovery","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","Completion","Bilateral","0","632a","2015-10-01 00:00:00","2017-09-30 00:00:00","Turkey","Provide goods, personnel, services and assistance to meet basic human needs in order to foster transition from relief according to principles of universality, impartiality and human dignity. This element should be done, when possible, as part of an integr","737","Commitment","2016-06-30 00:00:00","2016","3","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","52010","Food aid/Food security programmes","7001","Humanitarian Assistance","Protection, Assistance and Solutions","12 2278","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","2016","0","2016-06-30 00:00:00"
"0005A8203A","U.S. Department of State","","U.S. Agency for International Development","Bureau for Global Health","U.S. Government - U.S. Agency for International Development","","","790238638","Maternal and Child Health","Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; preve","Completion","Bilateral","0","Direct Appropriation","2014-10-01 00:00:00","2015-09-30 00:00:00","Turkey","Increase the availability and use of proven life-saving interventions that address the major killers of mothers and children and improve their health and nutrition status, including effective maternity care and management of obstetric complications; preve","15","Disbursement","2015-03-31 00:00:00","2015","2","Project-type interventions","Tied","ODA","Aid grant excluding debt reorganisation","13020","Reproductive health care","3006","Health","Maternal and Child Health","19 1031","Global Health Programs, State","2014","2015","2015-03-31 00:00:00"
"AID-ASHA-A-12-00002","U.S. Agency for International Development","","U.S. Agency for International Development","Bureau for Democracy, Conflict, and Humanitarian Assistance","Office of the Board of Trustees Robert College of Istanbul","Academic, Training and Research","","780072893","Higher Education","FY 2012 - Robert College","Completion","Bilateral","0","Direct Appropriation","2013-10-01 00:00:00","2017-09-30 00:00:00","Turkey","MOD 1- remove cost elememts for renovation and A/E services totaling $85,690 and allocate the funds to Durable Commodites and change project description reflecting grant to all commodities.","5047","Disbursement","2014-09-30 00:00:00","2014","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","11420","Higher education","4002","Education and Social Services","Higher Education","72 1021","Development Assistance, Agency for International Development, Funds Appropriated to the President","2012","2013","2014-09-30 00:00:00"
"2A5CC978","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","175.96000000000001","Disbursement","2017-06-13 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"69BF1A1E","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-37","Disbursement","2016-11-18 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"182430331051616SY1","U.S. Agency for International Development","","U.S. Department of State","Bureau Of Democracy, Human Rights, And Labor","Information Redacted","","","Information Redacted","","INM-EOP","Completion","Bilateral","0","","","","Turkey","Original-cooperative Agreements","46231.93","Disbursement","2018-08-31 00:00:00","2018","4","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","43010","Multisector aid","9000","Multi-sector","Multi-sector - Unspecified","72 1037","Economic Support Fund","2016","2017","2018-12-20 00:00:00"
"CFA81A35","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","-2109.5999999999999","Disbursement","2017-03-17 00:00:00","2017","2","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"54118E41","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","15.1","Disbursement","2017-06-06 00:00:00","2017","3","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"B9E0B046","U.S. Department of State","State Department","U.S. Department of State","Bureau Of Population, Refugees, And Migration","Information Redacted","","","Information Redacted","Information Redacted","Conflict Trans.&Reconst&Stabil","Completion","Bilateral","0","Direct Appropriation","","","Turkey","Original","3594.4000000000001","Disbursement","2016-12-27 00:00:00","2017","1","Administrative costs not included elsewhere","Untied","ODA","Aid grant excluding debt reorganisation","72050","Relief co-ordination; protection and support services","7001","Humanitarian Assistance","Protection, Assistance and Solutions","19 1143","Migration and Refugee Assistance, State","0","0","2018-02-15 00:00:00"
"14R312","U.S. Department of State","State Department","Department of Justice","Drug Enforcement Administration","Drug Enforcement Administration","Government","United States","878881879","IN23C104 International Narcotics and Law Enforcement/ Europe and Asia Programs","Training program for the Central Asian Republics in cooperation with the Turkish Academy Against Drugs and Organized Crime (TADOC).","Implementation","Multilateral","492822","632b","2014-04-30 00:00:00","2016-04-29 00:00:00","Turkey","DISBURSEMENT","1734","Disbursement","2015-11-09 00:00:00","2016","1","Project-type interventions","Untied","ODA","Aid grant excluding debt reorganisation","16063","Narcotics control","1004","Peace and Security","Counter-Narcotics","11 1022","International Narcotics Control and Law Enforcement, International Security Assistance, State","2013","2014","2015-12-31 00:00:00"
